נאבד,B,6,,
נאבק,B,6,,
נאגר,B,6,B,5
נאזר,B,5,B,6
נאחז,B,6,,
נאטם,B,6,B,5
נאכל,B,6,,
נאלם,B,6,B,5
נאלץ,B,6,B,5
נאמד,B,6,B,5
נאמן,B,6,,
נאמר,B,6,B,5
נאנח,B,11,,
נאנס,B,6,B,5
נאנק,B,6,B,5
נאסף,B,6,B,5
נאסר,B,6,B,5
נאפה,B,30,,
נארג,B,6,B,5
נארז,B,6,B,5
נאשם,B,6,B,5
נבדל,B,1,,
נבדק,B,1,,
נבהל,B,7,,
נבוך,B,18,,
נבזז,B,1,,
נבחן,B,8,,
נבחר,B,7,,
נבחש,B,7,,
נבלם,B,1,,
נבלע,B,9,,
נבנה,B,27,,
נבעת,B,7
נבצר,B,1
נבקע,B,9
נברא,B,23
נגאל,B,7
נגדע,B,9
נגזל,B,1
נגזם,B,1
נגזר,B,1
נגמל,B,1
נגמר,B,1
נגנב,B,1
נגנז,B,1
נגעל,B,7
נגרם,B,1
נגרס,B,1
נגרע,B,9
נגרף,B,1
נגרר,B,1
נדבק,B,1
נדבר,B,1
נדהם,B,7
נדון,B,19
נדחה,B,32
נדחס,B,7
נדחף,B,7
נדחק,B,7
נדלק,B,1
נדמה,B,27
נדפס,B,1
נדפק,B,1
נדקר,B,1
נדרס,B,1,,
נדרש,B,1,,
נהגה,B,30,B,29
נהדף,B,6,B,5
נהנה,B,30,,
נהפך,B,5,B,6
נהרג,B,6,B,5
נהרס,B,6,B,5
נואש,B,16,,
נודע,B,17,,
נוכח,B,17,,
נולד,B,15,,
נוסד,B,15,,
נוסף,B,15,,
נועד,B,16,,
נועץ,B,16,,
נוצר,B,15,,
נורה,B,33,,
נושע,B,17,,
נותר,B,15,,
נזהר,B,7,,
נזכר,B,1,,
נזעק,B,7,,
נזקף,B,1,,
נזקק,B,1,,
נזרע,B,9,,
נזרק,B,1,,
נחבא,B,25,,
נחבט,B,5,,
נחבל,B,5,,
נחבש,B,5,,
נחגר,B,5,B,6
נחטב,B,5,B,6
נחטף,B,5,B,6
נחלב,B,5,B,6
נחלץ,B,5,B,6
נחלק,B,5,B,6
נחלש,B,5,B,6
נחנך,B,5,B,6
נחנק,B,5,B,6
נחסך,B,5,B,6
