אגר,A,14
אגרף,C,20
אהב,A,21
אהד,A,20
אונן,C,14
אותת,C,13
אזכר,C,20
אזל,A,15
אזר,A,14
אחז,A,20
אחל,C,4
אחר,C,4
איד,C,1
איך,C,1
אים,C,1
אין,C,3
ארח,C,10
ארס,C,5
ארע,C,11
אכלל,C,20
אכף,A,14
אכשר,C,20
אלחש,C,20
אמד,A,14
אמלל,C,20
אמר,A,16
אנס,A,14
אנפף,C,20
אסלם,C,20
אסף,A,14
אסר,A,14
אפה,A,52
אפנן,C,22
אפף,A,14
אפרט,C,20
אפשט,C,20
אפשר,C,20
אץ,A,35
אצל,A,14
אצר,A,14
ארב,A,14
ארג,A,14
ארה,A,51
ארז,A,14
ארך,A,15
אשפר,C,20
בא,A,47
באש,A,17
בגד,A,1
בגר,A,4
בדה,A,48
בדק,A,1
בהה,A,53
בהק,A,17
בוסס,C,12
בוש,A,38
בשם,D,1
בושש,C,12
בזז,A,1
בזק,A,1
בחל,A,17
בחן,A,19
בחר,A,1
בחש,A,17
באס,C,7
בדח,C,9
בדר,C,1
בטן,C,3
ביץ,C,1
בכר,C,1
בלף,C,1
בקר,C,1
בש'ם,C,1
בש'ר,C,1
בלגן,C,22
בלט,A,1
בלל,A,1
בלם,A,1
בלס,A,1
בלע,A,22
בלש,A,1
בנה,A,48
בעבע,C,26
בעט,A,17
בעל,A,17
בצבץ,C,20
ברא,A,41
ברבר,C,20
ברדק,C,20
ברח,A,22
ברמן,C,22
גאה,A,53
גאל,A,17
גבל,A,1
גבר,A,4
גדע,A,22
גהר,A,17
גוע,A,22
גולל,C,12
גזז,A,1
גזל,A,1
גזם,A,1
גזר,A,1
גחן,A,17
גבב,C,1
גבן,C,3
גבש,C,1
גהק,C,4
גחך,C,4
ג'נן,C,3
גנן,C,3
גפף,C,1
גפר,C,1
גשר,C,1
גשש,C,1
גלל,A,1
גלש,A,1
גמא,A,41
גמגם,C,20
גמל,A,1
גמע,A,22
גנדר,C,20
גנז,A,1
גנח,A,22
גסס,A,1
געגע,C,26
ג'עג'ע,C,27
געה,A,53
גער,A,17
געש,A,17
גר,A,35
גרב,A,1
גרבץ,C,20
גרגר,C,20
גרם,A,1
גרס,A,1
גרע,A,22
גרען,C,25
דאב,A,17
דאג,A,17
דאה,A,53
דבק,A,5
דג,A,35
דגדג,C,20
דגם,A,1
דגמן,C,22
דגר,A,1
דהה,A,53
דהר,A,17
דובב,C,12
דומם,C,12
דפן,D,3
דחה,A,53
דחס,A,17
דחף,A,17
דחק,A,17
דגם,C,1
